חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
,,,,,,
אמנת (AMAN),09.05.2022,45.417,,25.05.2022,6.24%,5/9/2022
בזק (BEZQ),09.05.2022,8.67823,,16.05.2022,1.68%,5/9/2022
שרין טכנו (SARN),09.05.2022,0.013848,,19.05.2022,7.99%,5/9/2022
אפקון החזקות (AFHL),15.05.2022,493.96845,,23.05.2022,6.29%,5/15/2022
אורמת טכנולוגיות (ORA),16.05.2022,0.12,,31.05.2022,0.65%,5/16/2022
סאפיינס (SPNS),17.05.2022,0.47,,25.05.2022,1.90%,5/17/2022
בירמן (BIRM),18.05.2022,227.27725,,30.05.2022,11.70%,5/18/2022
דלתא מותגים (DLTI),18.05.2022,38.18,,26.05.2022,3.50%,5/18/2022
איביאי חיתום (IBIU),19.05.2022,38.8511,,30.05.2022,15.20%,5/19/2022
אופל בלאנס (OPAL),19.05.2022,3.68048,,29.05.2022,4.76%,5/19/2022
מניף שירותים פיננסיים (MNIF),22.05.2022,14.0557,,29.05.2022,6.81%,5/22/2022
דלתא (DELG),23.05.2022,77.926,,31.05.2022,1.83%,5/23/2022
פנינסולה (PEN),23.05.2022,2.9806,,30.05.2022,6.56%,5/23/2022
סאני תקשורת (SNCM),23.05.2022,4.60335,,30.05.2022,9.86%,5/23/2022
אוברסיז קומרס (OVRS),24.05.2022,6.08963,,08.06.2022,4.68%,5/24/2022
ביג-טק 50 יהש (BIGTp),24.05.2022,0.0695,,31.05.2022,-,5/24/2022
אפריקה מגורים (AFRE),24.05.2022,79.0918,,31.05.2022,2.74%,5/24/2022
אי.טי.ג'י.איי (ETGA),26.05.2022,20.1092,,06.06.2022,3.58%,5/26/2022
א.נ שוהם ביזנס (SHOM),26.05.2022,12.84522,,02.06.2022,1.59%,5/26/2022
גלוברנדס (GLRS),30.05.2022,2441.0089,,13.06.2022,13.28%,5/30/2022
ניו-מד אנרג יהש (NWMDp),30.05.2022,0.0426,,16.06.2022,-,5/30/2022
וואן טכנולוגיות (ONE),30.05.2022,35.0965,,13.06.2022,2.36%,5/30/2022
פולירם תעשיות פלסטיק (POLP),31.05.2022,9.37562,,13.06.2022,4.11%,5/31/2022
דיסקונט (DSCT),31.05.2022,15.89315,,09.06.2022,1.98%,5/31/2022
אסאר אקורד (SRAC),01.06.2022,51.67669,,16.06.2022,4.02%,6/1/2022
דנאל (DANE),01.06.2022,500.0,,13.06.2022,4.55%,6/1/2022
אי.בי.אי. (IBI),01.06.2022,46.6023,,08.06.2022,3.13%,6/1/2022
אנרג'יקס (ENRG),01.06.2022,5.0,,14.06.2022,1.98%,6/1/2022
רימוני (RIMO),01.06.2022,115.0,,20.06.2022,7.48%,6/1/2022
איי.סי.אל (ICL),01.06.2022,79.55122,,15.06.2022,4.47%,6/1/2022
מטריקס (MTRX),01.06.2022,71.0,,23.06.2022,3.90%,6/1/2022
בינלאומי (FIBI),01.06.2022,159.47368,,12.06.2022,8.46%,6/1/2022
טיב טעם (TTAM),02.06.2022,3.24328,,14.06.2022,2.22%,6/2/2022
ירושלים (JBNK),02.06.2022,61.21863,,14.06.2022,6.92%,6/2/2022
טריא ישראל (TRA),02.06.2022,2.0,,12.06.2022,2.49%,6/2/2022
שנפ (SHNP),02.06.2022,15.75436,,12.06.2022,5.33%,6/2/2022
טריא ישראל (TRA),02.06.2022,2.0,,12.06.2022,-,6/2/2022
דניה סיבוס (DNYA),02.06.2022,96.23658,,13.06.2022,4.54%,6/2/2022
צרפתי (SRFT),02.06.2022,114.95,,13.06.2022,3.85%,6/2/2022
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),05.06.2022,14.96774,,14.06.2022,4.37%,6/5/2022
אינרום תעשיות בנייה (INRM),06.06.2022,5.60999,,15.06.2022,1.88%,6/6/2022
נאוי (NAWI),06.06.2022,30.55263,,21.06.2022,6.87%,6/6/2022
מימון ישיר (DIFI),06.06.2022,1234.7962,,20.06.2022,4.81%,6/6/2022
פרשקובסקי (PRSK),06.06.2022,75.0,,14.06.2022,1.94%,6/6/2022
איסתא (ISTA),07.06.2022,126.71185,,17.06.2022,1.16%,6/7/2022
פרידנזון (FRDN),07.06.2022,91.9224,,15.06.2022,9.04%,6/7/2022
לאומי (LUMI),07.06.2022,22.14211,,15.06.2022,6.02%,6/7/2022
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),07.06.2022,,,19.06.2022,-,6/7/2022
ג'י וואן (GOSS),07.06.2022,8.27756,,14.06.2022,6.84%,6/7/2022
א.מ.ת (EMCO),07.06.2022,7.5,,16.06.2022,5.63%,6/7/2022
מלם תים (MLTM),07.06.2022,100.0,,16.06.2022,3.27%,6/7/2022
לפידות (LAPD),07.06.2022,39.02887,,20.06.2022,2.95%,6/7/2022
ארד (ARD),07.06.2022,0.445,,22.06.2022,3.35%,6/7/2022
פיבי (FIBIH),08.06.2022,217.19116,,16.06.2022,10.06%,6/8/2022
צור (ZUR),08.06.2022,12.28881,,22.06.2022,5.38%,6/8/2022
אלטשולר שחם פיננסים (ALTF),08.06.2022,101.4716,,15.06.2022,9.08%,6/8/2022
אטראו שוקי הון (ATRY),09.06.2022,230.92304,,22.06.2022,13.06%,6/9/2022
תיגבור (TIGBUR),09.06.2022,37.44113,,28.06.2022,3.05%,6/9/2022
דלק רכב (DLEA),09.06.2022,250.0,,03.07.2022,23.19%,6/9/2022
בית הזהב (GOHO),09.06.2022,38.54162,,16.06.2022,3.02%,6/9/2022
אברא (ABRA),12.06.2022,,,22.06.2022,-,6/12/2022
י.ד. מור השקעות (MRIN),12.06.2022,23.26468,,20.06.2022,3.63%,6/12/2022
רמי לוי (RMLI),12.06.2022,442.81247,,19.06.2022,6.09%,6/12/2022
כפרית (KAFR),12.06.2022,16.77378,,29.06.2022,2.46%,6/12/2022
מיחשוב ישר (CMDR),14.06.2022,270.0,,28.06.2022,13.25%,6/14/2022
טלסיס (TLSY),19.06.2022,161.81367,,04.07.2022,5.37%,6/19/2022
שיכון ובינוי (SKBN),20.06.2022,,,30.06.2022,-,6/20/2022
פייטון (PAYT),20.06.2022,0.78,,28.06.2022,5.36%,6/20/2022
אלביט מערכות (ESLT),27.06.2022,0.5,,11.07.2022,0.93%,6/27/2022
קנון הולדינגס (KEN),27.06.2022,10.25,,05.07.2022,25.54%,6/27/2022
נפטא (NFTA),11.07.2022,,,13.07.2022,-,7/11/2022
קסטרו (CAST),11.07.2022,1016.4487,,18.07.2022,10.20%,7/11/2022
מילניום פוד יהש (MIFT),11.07.2022,,,21.07.2022,-,7/11/2022
תיקון עולם (TKUN),31.07.2022,,,16.08.2022,-,7/31/2022
ביג-טק 50 יהש (BIGTp),03.08.2022,60.8,,14.08.2022,-,8/3/2022
איביאי חיתום (IBIU),14.08.2022,17.30582,,22.08.2022,11.27%,8/14/2022
מטריקס (MTRX),17.08.2022,261.0,,28.08.2022,5.12%,8/17/2022
סאפיינס (SPNS),17.08.2022,0.23,,30.08.2022,3.08%,8/17/2022
פרקומט (PRKM),17.08.2022,25.78457,,25.08.2022,3.14%,8/17/2022
דלתא מותגים (DLTI),17.08.2022,42.452,,25.08.2022,3.46%,8/17/2022
אורמת טכנולוגיות (ORA),17.08.2022,0.12,,31.08.2022,0.49%,8/17/2022
אודיוקודס (AUDC),17.08.2022,0.18,,31.08.2022,1.59%,8/17/2022
תדיראן (TDRN),18.08.2022,462.38057,,25.08.2022,1.58%,8/18/2022
מניף שירותים פיננסיים (MNIF),18.08.2022,17.36292,,28.08.2022,6.99%,8/18/2022
אוברסיז קומרס (OVRS),18.08.2022,8.85269,,07.09.2022,5.20%,8/18/2022
ישראכרט (ISCD),18.08.2022,14.28264,,25.08.2022,6.52%,8/18/2022
שרין טכנו (SARN),21.08.2022,0.020754,,02.09.2022,7.90%,8/21/2022
דיסקונט (DSCT),21.08.2022,10.99424,,30.08.2022,2.28%,8/21/2022
פנינסולה (PEN),22.08.2022,4.6837,,30.08.2022,7.06%,8/22/2022
